A0A061ACU2	A0A061ACU2
A0A3S7X906	A0A1L8FDW4
A0A3S7X906	P33292
A0A3S7X906	C4R2L0
A0A3S7X906	P35056
A0A3S7X906	Q9FMA3
A0A437AGY2	A0A437AGY2
A0A445AGS0	A0A445AGS0
A0A445AGS0	M1J8U6
A0A445AGS0	C6ZJZ3
A0A445AGS0	K0P2S0
A0A445AGS0	Q0GRC4
A0A445AGS0	P06730
A0A445AGS0	P63073
A0A445AGS0	Q9DFS6
A0A445AGS0	P48598
A0A445AGS0	P07260
A0A509AQ68	A0A509AQ68
A0A509AQ68	Q7RA60
A0A509AQ68	Q8IJN7
A0A509AQ68	G2X006
A0A509AQ68	P06733
A0A509AQ68	P04764
A0A509AQ68	P25696
A0A509AQ68	P51555
A0A509AQ68	Q9ZW34
A0A5E4M3Q4	A0A5E4M3Q4
A0A5F8MPU3	A0A5F8MPU3
A0A5K7RLP0	A0A5K7RLP0
A0A7J6K629	A0A7J6K629
A0FGR9	A0FGR9
A0FGR9	A0FGR8
A0FGR9	Q9BSJ8
A0JNW5	A0JNW5
G5DBJ0	G5DBJ0
G5DBJ0	Q9FN50
G5EC23	G5EC23
G5EC23	Q9Y5Z7
G5EC32	G5EC32
G5ECD6	G5ECD6
G5ECD9	G5ECD9
G5ECG2	G5ECG2
G5ECN5	G5ECN5
G5ECU7	G5ECU7
G5ED29	G5ED29
G5ED47	G5ED47
G5EDE1	G5EDE1
G5EDE2	G5EDE2
G5EDE2	G5EET5
G5EDE2	P05205
G5EDE2	Q13185
G5EDE2	P23198
G5EDE2	P45973
G5EDE2	P83916
G5EDM7	G5EDM7
G5EDN3	G5EDN3
G5EDP2	G5EDP2
G5EDP2	P32020
G5EDP2	P11915
G5EDP2	P22307
G5EDT1	G5EDT1
G5EDW5	G5EDW5
G5EDW7	G5EDW7
G5EE01	G5EE01
G5EEC5	G5EEC5
G5EED4	G5EED4
G5EEG1	G5EEG1
G5EEG7	G5EEG7
G5EEG7	Q8W117
G5EEG7	Q76B40
G5EEG7	Q2TAY7
G5EEG9	G5EEG9
G5EEH9	G5EEH9
G5EEM0	G5EEM0
G5EEQ5	G5EEQ5
G5EEU2	G5EEU2
G5EEV2	G5EEV2
G5EEW6	G5EEW6
G5EEW6	Q6Q151
G5EEW6	Q9UUE4
G5EEW6	Q6Q152
G5EF48	G5EF48
G5EFF5	G5EFF5
G5EFY4	G5EFY4
G5EFY7	G5EFY7
G5EG17	G5EG17
G5EG44	G5EG44
G5EG86	G5EG86
G5EGA3	G5EGA3
G5EGB2	G5EGB2
G5EGD2	G5EGD2
G5EGE9	G5EGE9
G5EGK5	G5EGK5
G5EGK6	G5EGK6
G5EGP4	G5EGP4
G5EGP4	G5EEK9
G5EGP4	Q920R6
G5EGP4	Q9HBG4
G5EGP4	Q9Y487
G5EGP4	P15920
G5EGQ6	G5EGQ6
G5EGS7	G5EGS7
G5EGU9	G5EGU9
H0YL14	H0YL14
H2KYH4	H2KYH4
H2KYS8	H2KYS8
H2KZB2	H2KZB2
H2KZH5	H2KZH5
H2L006	H2L006
H2L056	H2L056
H2L0N8	H2L0N8
H2L0N8	Q8JHI3
H2L0N8	Q640N2
H2L0N8	Q3SXY8
H3K2Y6	H3K2Y6
H9A1V3	H9A1V3
P53061	P53061
P53062	P53062
P53063	P53063
P53064	P53064
P53067	P53067
P53068	P53068
P53076	P53076
P53082	P53082
P53083	P53083
P53088	P53088
P53112	P53112
P53112	Q9HG09
P53114	P53114
P53119	P53119
P53127	P53127
P53140	P53140
P53148	P53148
P53150	P53150
P53152	P53152
P53152	O45495
P53152	Q13404
P53154	P53154
P53159	P53159
P53165	P53165
P53166	P53166
P53167	P53167
P53167	Q12211
P53167	O94396
P53167	Q9Y606
P53168	P53168
P53170	P53170
P53184	P53184
P53192	P53192
P53193	P53193
P53196	P53196
P53201	P53201
P53207	P53207
P53208	P53208
P53218	P53218
P53226	P53226
P53238	P53238
P53251	P53251
P53254	P53254
P53255	P53255
P53256	P53256
P53259	P53259
P53259	Q5XJY4
P53259	Q9H300
P53264	P53264
P53267	P53267
P53276	P53276
P53277	P53277
P53297	P53297
P53298	P53298
P53309	P53309
P53309	P38856
P53317	P53317
P53327	P53327
P53327	O75643
P53327	Q8N3C0
P53327	Q9UT24
P53330	P53330
P53335	P53335
P53335	Q9URX9
P53335	Q96BK5
P53335	A4L691
P53352	P53352
P53352	Q9WU62
P53352	Q9NQS7
P53369	P53369
P53369	P36639
P53397	P53397
P53397	O15527
P53397	Q9FNY7
P53507	P53507
P53540	P53540
P53552	P53552
P53568	P53568
P53598	P53598
P53598	Q8GTQ9
P53598	P68209
P53598	Q6DQL1
P53598	Q8LAD2
P53620	P53620
P53620	Q9QXK3
P53620	Q9QZE5
P53628	P53628
P53692	P53692
P53694	P53694
P53720	P53720
P53720	O74731
P53721	P53721
P53721	Q9P3B2
P53725	P53725
P53734	P53734
P53743	P53743
P53743	O74362
P53769	P53769
P53769	O15541
P53784	P53784
P53784	P41225
P53784	P40646
P53784	P43267
P53784	Q05738
P53784	Q06945
P53784	O15370
P53784	P35716
P53784	Q7M6Y2
P53784	Q61473
P53784	O42601
P53784	P43680
P53784	P48430
P53784	P48432
P53784	P55863
P53784	Q3KQ35
P53784	P36394
P53784	Q05066
P53784	P47792
P53803	P53803
P53803	P40422
P53804	P53804
P53817	P53817
P53817	Q8R3U1
P53817	Q4KLN5
P53817	Q9QZU4
P53817	Q9HDD0
P53817	A0A0R4IY06
P53833	P53833
P53838	P53838
P53838	Q8VYR7
P53840	P53840
P53846	P53846
P53853	P53853
P53859	P53859
P53866	P53866
P53867	P53867
P53874	P53874
P53877	P53877
P53886	P53886
P53895	P53895
P53899	P53899
P53909	P53909
P53909	Q9P6I7
P53911	P53911
P53914	P53914
P53914	P87115
P53914	Q9H0A0
P53914	Q9W3C1
P53919	P53919
P53920	P53920
P53927	P53927
P53927	O74978
P53927	Q9BYG3
P53927	Q91VE6
P53930	P53930
P53930	O94436
P53930	O95619
P53930	P35189
P53941	P53941
P53941	Q96G21
P53941	P38805
P53941	Q9H9Y2
P53942	P53942
P53955	P53955
P53955	P40485
P53968	P53968
P53969	P53969
P53972	P53972
P53983	P53983
P53990	P53990
P53999	P53999
P53999	P11031
P54074	P54074
P54105	P54105
P54113	P54113
P54113	P38009
P54198	P54198
P54198	O17468
P54198	Q8QFR2
P54256	P54256
P54258	P54258
P54258	P54259
P54258	Q9P2R6
P54274	P54274
P54310	P54310
P54310	Q05469
P54345	P54345
P54345	O60814
P54345	P02281
P54345	P02283
P54345	P02293
P54345	P02294
P54345	P04255
P54345	P04913
P54345	P05621
P54345	P06899
P54345	P06900
P54345	P0C1H3
P54345	P0C1H4
P54345	P0C1H5
P54345	P10853
P54345	P10854
P54345	P23527
P54345	P30757
P54345	P33778
P54345	P40283
P54345	P50565
P54345	P54346
P54345	P54347
P54345	P57053
P54345	P58876
P54345	P62807
P54345	P62808
P54345	P70696
P54345	Q00715
P54345	Q16778
P54345	Q27749
P54345	Q27750
P54345	Q27894
P54345	Q2M2T1
P54345	Q32L48
P54345	Q5QNW6
P54345	Q64475
P54345	Q64478
P54345	Q64524
P54345	Q64525
P54345	Q6ZWY9
P54345	Q75VN4
P54345	Q7M4G7
P54345	Q8CGP0
P54345	Q8CGP1
P54345	Q8CGP2
P54345	Q8N257
P54345	Q93079
P54345	Q99877
P54345	Q99879
P54345	Q99880
P54345	Q9D2U9
P54345	Q9PSW9
P54345	P02284
P54345	P02285
P54345	P02286
P54345	P02289
P54345	P02290
P54345	P02291
P54345	P02292
P54345	P08993
P54345	P08994
P54345	P16888
P54345	P16889
P54345	P27807
P54345	P37210
P54345	P69069
P54345	P69070
P54345	P82887
P54345	Q7M400
P54622	P54622
P54622	Q04837
P54622	Q9CYR0
P54654	P54654
P54657	P54657
P54725	P54725
P54725	P54727
P54725	P54728
P54725	O74803
P54725	P32628
P54725	Q84L30
P54725	Q84L31
P54725	Q84L33
P54783	P54783
P54785	P54785
P54789	P54789
P54789	Q13415
P54789	P54784
P54789	Q99741
P54790	P54790
P54845	P54845
P54845	O57342
P54845	P54842
P54845	P54841
P54845	P54844
P54845	P54843
P54845	Q8NHW3
P54845	Q8CF90
P54845	D3ZNT6
P54857	P54857
P54860	P54860
P54861	P54861
P54861	O35303
P54861	O00429
P54861	Q8K1M6
P54861	Q05193
P54861	P39052
P54861	Q8WQC9
P54861	P20592
P54861	P09922
P54861	P20591
P54861	P18588
P54861	P42697
P54861	Q8IJ32
P54861	Q8LFT2
P54861	Q8S944
P54920	P54920
P54939	P54939
P54939	Q9Y4G6
P54987	P54987
P55039	P55039
P55039	Q9Y295
P55081	P55081
P55081	Q93712
P55160	P55160
P55160	P28660
P55197	P55197
P55197	P55198
P55199	P55199
P55199	O00472
P55209	P55209
P55209	P28656
P55209	Q4U0Y4
P55209	F4JEI8
P55209	O59797
P55209	P25293
P55209	P51860
P55209	Q99457
P55209	Q9SZI2
P55209	Q70Z19
P55209	B8B2R4
P55209	Q78ZA7
P55209	Q99733
P55209	Q5MGA9
P55212	P55212
P55212	O89110
P55212	Q9JHX4
P55212	P55210
P55212	P31944
P55212	O89094
P55212	P42573
P55241	P55241
P55241	Q7G065
P55241	Q688T8
P55241	P55229
P55241	Q0D7I3
P55241	Q69T99
P55241	P15280
P55241	P23509
P55241	Q6AVT2
P55241	P55230
P55264	P55264
P55264	P55263
P55786	P55786
P55786	Q11011
P55786	P15145
P55786	P79171
P55786	P15684
P55786	O57579
P55786	P15144
P55786	P97449
P55786	P32454
P55786	Q07075
P55786	Q9UIQ6
P55786	P97629
P56182	P56182
P56182	Q14684
P56192	P56192
P56216	P56216
P56280	P56280
P56282	P56282
P56287	P56287
P56373	P56373
P56373	P49654
P56373	P51575
P56373	P47824
P56373	Q8K3P1
P56373	P49653
P56373	Q9UBL9
P56373	Q93086
P56373	P51579
P56373	O54803
P56373	Q99571
P56373	P51577
P56373	Q99572
P56378	P56378
P56383	P56383
P56383	P05496
P56383	P07926
P56383	P17605
P56383	P32876
P56383	P48201
P56383	Q06055
P56383	Q06645
P56383	Q06646
P56393	P56393
P56393	P13183
P56393	P24311
Q9UBY9	Q9UBY9
Q9UDR5	Q9UDR5
Q9UDW3	Q9UDW3
Q9UDX5	Q9UDX5
Q9UDY8	Q9UDY8
Q9UF56	Q9UF56
Q9UFC0	Q9UFC0
Q9UFW8	Q9UFW8
Q9UGC7	Q9UGC7
Q9UGC7	O75570
Q9UGC7	P30775
Q9UGI0	Q9UGI0
Q9UGM6	Q9UGM6
Q9UGM6	P04803
Q9UGM6	Q8RXE9
Q9UGR2	Q9UGR2
Q9UGU0	Q9UGU0
Q9UGY1	Q9UGY1
Q9UGY1	Q8BG17
Q9UH65	Q9UH65
Q9UH65	Q6A028
Q9UH65	Q8C2K1
Q9UH65	Q9H4E7
Q9UH77	Q9UH77
Q9UH77	O14682
Q9UH77	Q8IXQ5
Q9UH77	Q9Z2X8
Q9UH77	Q14145
Q9UH92	Q9UH92
Q9UH99	Q9UH99
Q9UH99	Q8BJS4
Q9UH99	O94901
Q9UH99	Q9D666
Q9UHB9	Q9UHB9
Q9UHH9	Q9UHH9
Q9UHH9	Q92551
Q9UHQ1	Q9UHQ1
Q9UHQ1	Q94CL6
Q9UHV7	Q9UHV7
Q9UHV9	Q9UHV9
Q9UHW5	Q9UHW5
Q9UHW5	Q56XY2
Q9UHW5	Q9HCN4
Q9UHW5	Q8W586
Q9UHX1	Q9UHX1
Q9UHX1	Q8T6B9
Q9UI26	Q9UI26
Q9UI30	Q9UI30
Q9UI30	P53738
Q9UI36	Q9UI36
Q9UI40	Q9UI40
Q9UI40	O54701
Q9UI95	Q9UI95
Q9UI95	Q8QFR4
Q9UIA9	Q9UIA9
Q9UID6	Q9UID6
Q9UIG0	Q9UIG0
Q9UIG8	Q9UIG8
Q9UIG8	Q71MB6
Q9UIG8	Q6ZQN7
Q9UIG8	Q86UG4
Q9UIG8	Q92959
Q9UIG8	Q00910
Q9UIG8	O94956
Q9UIG8	Q9EP96
Q9UIG8	O35913
Q9UIG8	P46720
Q9UIG8	P46721
Q9UIG8	Q99J94
Q9UIG8	Q9ERB5
Q9UIG8	Q9EPZ7
Q9UIG8	Q9NYB5
Q9UIG8	Q9QZX8
Q9UIG8	Q9JJL3
Q9UIG8	Q9NPD5
Q9UIG8	F5H094
Q9UIG8	Q9Y6L6
Q9UIG8	Q9H2Y9
Q9UII2	Q9UII2
Q9UII2	P01096
Q9UIL1	Q9UIL1
Q9UIL8	Q9UIL8
Q9UIS9	Q9UIS9
Q9UIS9	Q9Z2E2
Q9UJA2	Q9UJA2
Q9UJA2	Q93YW7
Q9UJM8	Q9UJM8
Q9UJM8	Q10CE4
Q9UJM8	P05414
Q9UJM8	Q9NYQ2
Q9UJM8	Q07523
Q9UJM8	Q9NYQ3
Q9UJM8	P00175
Q9UJQ4	Q9UJQ4
Q9UJQ4	Q8BX22
Q9UJQ4	Q9ER74
Q9UJS0	Q9UJS0
Q9UJS0	O75746
Q9UJS0	P04710
Q9UJS0	P18239
Q9UJS0	O49447
Q9UJS0	P31167
Q9UJS0	P40941
Q9UJS0	Q86VD7
Q9UJS0	Q9BJ36
Q9UJS0	Q3V132
Q9UJS0	P12235
Q9UJS0	Q9H0C2
Q9UJS0	P38702
Q9UJS0	Q03028
Q9UJS0	Q9BQT8
Q9UJS0	Q99297
Q9UJU6	Q9UJU6
Q9UJU6	Q9JHL4
Q9UJW9	Q9UJW9
Q9UJX3	Q9UJX3
Q9UJX4	Q9UJX4
Q9UJX5	Q9UJX5
Q9UJY1	Q9UJY1
Q9UK33	Q9UK33
Q9UK41	Q9UK41
Q9UK73	Q9UK73
Q9UK73	Q9Z2G1
Q9UK73	Q9BSK4
Q9UK76	Q9UK76
Q9UK76	Q9H910
Q9UK99	Q9UK99
Q9UKA1	Q9UKA1
Q9UKJ5	Q9UKJ5
Q9UKK3	Q9UKK3
Q9UKL0	Q9UKL0
Q9UKL0	Q59E36
Q9UKN8	Q9UKN8
Q9UKT7	Q9UKT7
Q9UKT7	Q8BFZ4
Q9UKT7	Q8C4V4
Q9UKV3	Q9UKV3
Q9UL03	Q9UL03
Q9UL03	Q9W485
Q9UL40	Q9UL40
Q9UL40	Q8AVN9
Q9UL49	Q9UL49
Q9ULE6	Q9ULE6
Q9ULJ3	Q9ULJ3
Q9ULP9	Q9ULP9
Q9ULR3	Q9ULR3
Q9ULU4	Q9ULU4
Q9ULV3	Q9ULV3
Q9ULX3	Q9ULX3
Q9ULZ2	Q9ULZ2
Q9UM07	Q9UM07
Q9UM07	Q8K3V4
Q9UM54	Q9UM54
Q9UM54	Q29122
Q9UM54	Q9I8D1
Q9UM54	D3ZJP6
Q9UM54	P79114
Q9UM54	Q9HD67
Q9UM54	F8VQB6
Q9UM54	O00160
Q9UM54	O00159
Q9UM54	Q63355
Q9UM54	Q9WTI7
Q9UM54	A0MP03
Q9UM54	Q0WPU1
Q9UM54	Q23979
Q9UM54	P35579
Q9UM54	Q5SYD0
Q9UM54	B0I1T2
Q9UM54	Q5SUA5
Q9UM54	Q23978
Q9UM54	Q96H55
Q9UM54	O00934
Q9UM63	Q9UM63
Q9UM63	Q6DJT9
Q9UMN6	Q9UMN6
Q9UMN6	Q03164
Q9UMS0	Q9UMS0
Q9UMS0	P32860
Q9UMW8	Q9UMW8
Q9UMX3	Q9UMX3
Q9UMX3	O35425
Q9UMY1	Q9UMY1
Q9UN81	Q9UN81
Q9UNA4	Q9UNA4
Q9UNE7	Q9UNE7
Q9UNE7	A6HD62
Q9UNN5	Q9UNN5
Q9UNQ2	Q9UNQ2
Q9UNQ2	O22268
Q9UNQ2	Q9FK02
Q9UNQ2	P41819
Q9UNS2	Q9UNS2
Q9UNS2	Q8W575
Q9UP83	Q9UP83
Q9UPI3	Q9UPI3
Q9UPI3	Q91X85
Q9UPI3	Q9Y5Y0
Q9UPN3	Q9UPN3
Q9UPN3	Q91ZU6
Q9UPN3	Q03001
Q9UPR3	Q9UPR3
Q9UPV0	Q9UPV0
Q9UPW6	Q9UPW6
Q9UPW6	Q01826
Q9UPW6	Q60611
Q9UPX6	Q9UPX6
Q9UPZ3	Q9UPZ3
Q9UQ13	Q9UQ13
Q9UQ13	O61967
Q9UQ13	Q3KRC6
Q9UQ13	Q6NSJ5
Q9UQ13	Q6P9F7
Q9UQ13	Q8BGR2
Q9UQ13	Q5U308
Q9UQ13	Q7L1W4
Q9UQ13	Q8IWT6
Q9UQ13	Q80WG5
Q9UQ13	Q8TDW0
Q9UQ13	Q498T9
Q9UQ13	Q8R502
Q9UQ35	Q9UQ35
Q9UQ80	Q9UQ80
Q9UQ80	Q6AYD3
Q9UQ80	Q96327
Q9UQ80	Q09184
Q9UQ84	Q9UQ84
Q9UQC2	Q9UQC2
Q9UQN3	Q9UQN3
Q9UQN3	O43633
Q9UQY9	Q9UQY9
Q9UQY9	P50582
Q9URQ3	Q9URQ3
Q9URT4	Q9URT4
Q9URY2	Q9URY2
Q9US52	Q9US52
Q9USG8	Q9USG8
Q9USJ7	Q9USJ7
Q9USM3	Q9USM3
Q9USM3	Q06168
Q9USM3	Q9Z0H3
Q9USM3	Q12824
Q9USP0	Q9USP0
Q9USR4	Q9USR4
Q9USR9	Q9USR9
Q9UST6	Q9UST6
Q9USU3	Q9USU3
Q9USV1	Q9USV1
Q9UT18	Q9UT18
Q9UT19	Q9UT19
Q9UT19	Q9SRV5
Q9UT19	O50008
Q9UT19	Q0WNZ5
Q9UT23	Q9UT23
Q9UT23	P40562
Q9UT76	Q9UT76
Q9UTE3	Q9UTE3
Q9UTF7	Q9UTF7
Q9UTG8	Q9UTG8
Q9UTH0	Q9UTH0
Q9UTH9	Q9UTH9
Q9UTH9	Q06053
Q9UTI3	Q9UTI3
Q9UTI3	Q9BSU3
Q9UTI3	P41227
Q9UTI3	P61599
Q9UTI4	Q9UTI4
Q9UTJ8	Q9UTJ8
Q9UTJ8	P12753
Q9UTK5	Q9UTK5
Q9UTL6	Q9UTL6
Q9UTQ7	Q9UTQ7
Q9UTR8	Q9UTR8
Q9UU91	Q9UU91
Q9UU96	Q9UU96
Q9UUB6	Q9UUB6
Q9UUB6	O04482
Q9UUB6	Q9FFF2
Q9UUB6	Q9Y5K5
Q9UUB6	Q7K5N4
Q9UUD1	Q9UUD1
Q9UUE5	Q9UUE5
Q9UUG9	Q9UUG9
Q9UUM2	Q9UUM2
Q9V3H8	Q9V3H8
Q9V3H8	Q9QZV9
Q9V3H8	Q9NPJ8
Q9V3H8	Q9UKK6
Q9V3V7	Q9V3V7
Q9V3Z1	Q9V3Z1
Q9V444	Q9V444
Q9V452	Q9V452
Q9V463	Q9V463
Q9V463	P37199
Q9V466	Q9V466
Q9V466	P57740
Q9V4C8	Q9V4C8
Q9V4P1	Q9V4P1
Q9V4Z9	Q9V4Z9
Q9V629	Q9V629
Q9V6L9	Q9V6L9
Q9V6L9	P0C2W1
Q9V6L9	Q99619
Q9V6L9	Q96BD6
Q9V6L9	A1Z6E0
Q9V6L9	Q96A44
Q9V6Q2	Q9V6Q2
Q9V6U9	Q9V6U9
Q9V6U9	Q9Z311
Q9V6U9	Q7YS70
Q9V6U9	Q9BV79
Q9V6U9	Q8LCU7
Q9V6U9	P38071
Q9V6U9	Q8WZM4
Q9V6U9	Q8WZM3
Q9V727	Q9V727
Q9V7P1	Q9V7P1
Q9V7P1	Q9Y5J1
Q9V8P9	Q9V8P9
Q9V968	Q9V968
Q9V968	Q9C9G6
Q9V968	Q9Y3D0
Q9V9N4	Q9V9N4
Q9V9V9	Q9V9V9
Q9V9V9	Q8S8E7
Q9V9W8	Q9V9W8
Q9VA37	Q9VA37
Q9VA37	A1Z9J4
Q9VA37	P90994
Q9VA37	Q99LX0
Q9VA37	O88767
Q9VA37	Q99497
Q9VA37	Q9FPF0
Q9VA37	Q9MAH3
Q9VA37	Q10356
Q9VAB8	Q9VAB8
Q9VAH9	Q9VAH9
Q9VAH9	Q5TA45
Q9VAH9	Q8GUU3
Q9VAH9	Q06224
Q9VAH9	Q9UKF6
Q9VAH9	Q9C952
Q9VAS7	Q9VAS7
Q9VAS7	P27716
Q9VAS7	Q9V427
Q9VAW5	Q9VAW5
Q9VB46	Q9VB46
Q9VB62	Q9VB62
Q9VBB3	Q9VBB3
Q9VBW9	Q9VBW9
Q9VBW9	Q9VBW6
Q9VBX1	Q9VBX1
Q9VBX1	O60524
Q9VC45	Q9VC45
Q9VC56	Q9VC56
Q9VC61	Q9VC61
Q9VCX1	Q9VCX1
Q9VD44	Q9VD44
Q9VDE4	Q9VDE4
Q9VDE8	Q9VDE8
Q9VE86	Q9VE86
Q9VEA5	Q9VEA5
Q9VEA5	O15514
Q9VEC1	Q9VEC1
Q9VEN1	Q9VEN1
Q9VEX5	Q9VEX5
Q9VEX5	Q9NVM9
Q9VEX5	Q8QZV7
Q9VEX9	Q9VEX9
Q9VEX9	O00422
Q9VF30	Q9VF30
Q9VFK6	Q9VFK6
Q9VFS6	Q9VFS6
Q9VFW4	Q9VFW4
Q9VFX3	Q9VFX3
Q9VGA4	Q9VGA4
Q9VGH1	Q9VGH1
Q9VGL8	Q9VGL8
Q9VGL8	Q8IZP1
Q9VGZ5	Q9VGZ5
A0PJY2	A0PJY2
A0PJY2	Q804Q5
A0PJY2	Q9ESP5
A0PK05	A0PK05
A0SVK0	A0SVK0
A1A4Y4	A1A4Y4
A1A4Y4	A0A140LIF8
A1A4Y4	Q60766
A1A4Y4	Q9QZ85
A1A519	A1A519
A1A519	Q66LM6
A1A6M1	A1A6M1
A1L167	A1L167
A1XBS5	A1XBS5
A1YKT1	A1YKT1
A1Z6S7	A1Z6S7
A1Z7A8	A1Z7A8
A1Z8D0	A1Z8D0
A1Z8D0	Q9P775
A1Z8D0	Q13610
A1Z8F4	A1Z8F4
A1Z8P9	A1Z8P9
A1Z9P3	A1Z9P3
A1ZAK1	A1ZAK1
A1ZAW0	A1ZAW0
A2A288	A2A288
A2A288	Q5D1E7
A2A288	Q5D1E8
A2A5K6	A2A5K6
A2A5K6	Q9H4Z2
A2A884	A2A884
A2A884	Q03172
A2A884	P15822
A2A884	Q3UHF7
A2A884	P31629
A2A884	Q00900
A2A9C3	A2A9C3
A2AAJ9	A2AAJ9
A2AG06	A2AG06
A2AG58	A2AG58
A2AIV2	A2AIV2
A2AIV2	Q69YN4
A2AKK5	A2AKK5
A2AKK5	Q14032
A2AKK5	Q63276
A2AKK5	Q9QYR9
A2AKK5	O55171
A2AKK5	O88267
A2AKK5	P49753
A2AKK5	Q6Q2Z6
A2AKK5	Q86TX2
A2AKK5	Q8BWN8
A2AKK5	Q8N9L9
A2AKK5	Q9QYR7
A2AKK5	Q32Q92
A2AKX3	A2AKX3
A2AKX3	Q7Z333
A2ALU4	A2ALU4
A2AMM0	A2AMM0
A2AMM0	Q5BKX8
A2AMT1	A2AMT1
A2AMT1	Q06002
A2ANU3	A2ANU3
A2ANU3	Q58DZ9
A2ANU3	Q9H7V2
A2ARP9	A2ARP9
A2ASQ1	A2ASQ1
A2ASQ1	P25304
A2AUU0	A2AUU0
A2AUU0	Q9H825
A2IDD5	A2IDD5
A2RTF1	A2RTF1
A2RVJ8	A2RVJ8
A2SWM2	A2SWM2
A2SWM2	Q9H2V7
A2T1U1	A2T1U1
A2T1U1	Q9FKF4
A2T1U1	Q8VYD8
A2VEY9	A2VEY9
A2XFC1	A2XFC1
A2XFC1	P23179
A2XFC1	P40384
A2XFC1	Q9M4A1
A2XFC1	Q9M4A2
A2XFC1	Q9WTK8
A3KPQ7	A3KPQ7
A3KPQ7	Q5FWI3
A4D126	A4D126
A4D2B0	A4D2B0
A4GSN8	A4GSN8
A4IFH6	A4IFH6
A5A6S6	A5A6S6
A6H8H2	A6H8H2
A6H8H2	Q5VZ89
A6H8Y1	A6H8Y1
A6NFQ2	A6NFQ2
A6NFQ2	Q9Y4C2
A6NGQ2	A6NGQ2
A6NGQ2	Q9CWE6
A6NHQ2	A6NHQ2
A6NHQ2	P15646
A6NHQ2	P22087
A6NHQ2	P22509
A6NHQ2	P35550
A6NHQ2	P35551
A6NHQ2	Q94AH9
A6NHQ2	Q9FEF8
A6NHQ2	Q9W1V3
O95059	O95059
O95071	O95071
O95071	P51592
O95104	O95104
O95104	Q6DID3
O95104	Q63623
O95104	Q9UPN6
O95163	O95163
O95180	O95180
O95180	O43497
O95210	O95210
O95218	O95218
O95229	O95229
O95273	O95273
O95278	O95278
O95359	O95359
O95415	O95415
O95433	O95433
O95466	O95466
O95466	Q8IVF7
O95466	Q9JL26
O95466	A0A3Q1LSX9
O95476	O95476
O95476	Q9GZU7
O95476	M9PFN0
O95476	P38757
O95476	Q8BG15
O95476	Q05D32
O95551	O95551
O95571	O95571
O95571	Q9C8L4
O95630	O95630
O95696	O95696
O95696	P55201
O95696	Q9ULD4
O95696	Q12311
O95696	Q6IE81
O95696	Q7JVP4
O95704	O95704
O95704	Q9QXJ1
O95704	O00213
O95704	P46933
O95707	O95707
O95714	O95714
O95721	O95721
O95751	O95751
O95782	O95782
O95782	P17427
